TOT,Latent Space,Jump,Components Slow,Mixtures Slow,Components Fast,Mixtures Fast,Covariance,Mean Accuracy,Standard Deviation,Max Accuracy,Min Accuracy,True Positives,False Positives,True Negatives,False Negatives,Precision,Recall,F1 Score
3,True,1s,1,1,1,1,full,0.5125520833333332,0.03521769322086,0.6145833333333334,0.4270833333333333,58.0,38.0,60.0,36.0,0.6041666666666666,0.6170212765957447,0.6105263157894737
3,True,1s,1,1,1,1,diag,0.5408333333333333,0.0274782900416148,0.6041666666666666,0.4583333333333333,49.0,47.0,67.0,29.0,0.5104166666666666,0.6282051282051282,0.5632183908045977
3,True,1s,1,1,1,1,spherical,0.54890625,0.0327826832119701,0.625,0.4791666666666667,40.0,56.0,80.0,16.0,0.4166666666666667,0.7142857142857143,0.5263157894736842
3,True,1s,1,1,1,2,full,0.4928645833333334,0.0150709944639345,0.5416666666666666,0.4583333333333333,92.0,4.0,12.0,84.0,0.9583333333333334,0.5227272727272727,0.6764705882352942
3,True,1s,1,1,1,2,diag,0.5111979166666667,0.0236205238080208,0.5677083333333334,0.4270833333333333,81.0,15.0,28.0,68.0,0.84375,0.5436241610738255,0.6612244897959184
3,True,1s,1,1,1,2,spherical,0.5236458333333334,0.0267042784883496,0.5729166666666666,0.46875,74.0,22.0,36.0,60.0,0.7708333333333334,0.5522388059701493,0.6434782608695653
3,True,1s,1,1,1,3,full,0.4919270833333333,0.0087579019379167,0.5104166666666666,0.46875,96.0,0.0,2.0,94.0,1.0,0.5052631578947369,0.6713286713286714
3,True,1s,1,1,1,3,diag,0.5155208333333333,0.0231753861738171,0.5625,0.453125,84.0,12.0,24.0,72.0,0.875,0.5384615384615384,0.6666666666666667
3,True,1s,1,1,1,3,spherical,0.5281770833333334,0.0226199421717688,0.5989583333333334,0.4739583333333333,86.0,10.0,29.0,67.0,0.8958333333333334,0.5620915032679739,0.6907630522088355
3,True,1s,1,1,1,4,full,0.49734375,0.0070455102306165,0.515625,0.4739583333333333,96.0,0.0,3.0,93.0,1.0,0.5079365079365079,0.6736842105263158
3,True,1s,1,1,1,4,diag,0.4900520833333333,0.0143979097332737,0.53125,0.453125,93.0,3.0,9.0,87.0,0.96875,0.5166666666666667,0.673913043478261
3,True,1s,1,1,1,4,spherical,0.4977604166666666,0.0117448782794293,0.5208333333333334,0.4635416666666667,94.0,2.0,6.0,90.0,0.9791666666666666,0.5108695652173914,0.6714285714285714
3,True,1s,1,1,2,1,full,0.4936458333333333,0.0138306504677513,0.5364583333333334,0.4635416666666667,93.0,3.0,10.0,86.0,0.96875,0.5195530726256983,0.6763636363636364
3,True,1s,1,1,2,1,diag,0.5104166666666665,0.0279605531905615,0.5729166666666666,0.4114583333333333,86.0,10.0,24.0,72.0,0.8958333333333334,0.5443037974683544,0.6771653543307087
3,True,1s,1,1,2,1,spherical,0.5271354166666667,0.0240633454938037,0.5885416666666666,0.453125,87.0,9.0,26.0,70.0,0.90625,0.554140127388535,0.6877470355731224
3,True,1s,1,1,2,2,full,0.4979687499999999,0.0060692169977088,0.5104166666666666,0.4739583333333333,96.0,0.0,2.0,94.0,1.0,0.5052631578947369,0.6713286713286714
3,True,1s,1,1,2,2,diag,0.4897916666666667,0.0107730695615399,0.5260416666666666,0.4635416666666667,89.0,7.0,12.0,84.0,0.9270833333333334,0.5144508670520231,0.6617100371747211
3,True,1s,1,1,2,2,spherical,0.494375,0.0092784378923513,0.5260416666666666,0.4791666666666667,92.0,4.0,9.0,87.0,0.9583333333333334,0.5139664804469274,0.6690909090909091
3,True,1s,1,1,2,3,full,0.4940625,0.0061634634135362,0.5052083333333334,0.4739583333333333,96.0,0.0,1.0,95.0,1.0,0.5026178010471204,0.6689895470383275
3,True,1s,1,1,2,3,diag,0.4954166666666665,0.0082113467395901,0.515625,0.4583333333333333,96.0,0.0,3.0,93.0,1.0,0.5079365079365079,0.6736842105263158
3,True,1s,1,1,2,3,spherical,0.5033854166666667,0.0106325289909341,0.53125,0.46875,94.0,2.0,8.0,88.0,0.9791666666666666,0.5164835164835165,0.6762589928057554
3,True,1s,1,1,2,4,full,0.4948958333333333,0.0070256536370488,0.5052083333333334,0.46875,96.0,0.0,1.0,95.0,1.0,0.5026178010471204,0.6689895470383275
3,True,1s,1,1,2,4,diag,0.4984895833333332,0.0097242526401632,0.5208333333333334,0.4635416666666667,95.0,1.0,5.0,91.0,0.9895833333333334,0.510752688172043,0.6737588652482269
3,True,1s,1,1,2,4,spherical,0.5065625,0.0127070525310859,0.546875,0.4791666666666667,92.0,4.0,13.0,83.0,0.9583333333333334,0.5257142857142857,0.6789667896678967
3,True,1s,1,1,3,1,full,0.4947395833333333,0.0073839032299808,0.5104166666666666,0.4739583333333333,94.0,2.0,4.0,92.0,0.9791666666666666,0.5053763440860215,0.6666666666666667
3,True,1s,1,1,3,1,diag,0.5123958333333334,0.0222534231917249,0.59375,0.4635416666666667,86.0,10.0,28.0,68.0,0.8958333333333334,0.5584415584415584,0.6880000000000001
3,True,1s,1,1,3,1,spherical,0.52046875,0.016621928888227,0.5520833333333334,0.484375,93.0,3.0,13.0,83.0,0.96875,0.5284090909090909,0.6838235294117648
3,True,1s,1,1,3,2,full,0.4968229166666666,0.0056526615381851,0.5052083333333334,0.4791666666666667,96.0,0.0,1.0,95.0,1.0,0.5026178010471204,0.6689895470383275
3,True,1s,1,1,3,2,diag,0.4979166666666665,0.0088080908985873,0.515625,0.4791666666666667,96.0,0.0,3.0,93.0,1.0,0.5079365079365079,0.6736842105263158
3,True,1s,1,1,3,2,spherical,0.5028645833333334,0.0125945857180664,0.53125,0.4635416666666667,94.0,2.0,8.0,88.0,0.9791666666666666,0.5164835164835165,0.6762589928057554
3,True,1s,1,1,3,3,full,0.4965104166666665,0.0053650889729341,0.5104166666666666,0.484375,96.0,0.0,2.0,94.0,1.0,0.5052631578947369,0.6713286713286714
3,True,1s,1,1,3,3,diag,0.4969270833333333,0.0092613188536904,0.5208333333333334,0.4739583333333333,93.0,3.0,7.0,89.0,0.96875,0.510989010989011,0.6690647482014388
