Feature Type,Window Size,Step Size,Components Slow,Mixtures Slow,Components Fast,Mixtures Fast,Covariance Type,Mean Accuracy,Standard Deviation,Max Accuracy,Min Accuracy,True Positives,False Positives,True Negatives,False Negatives,Precision,Recall,F1 Score
Relevant Features,3s,3s,1,1,1,1,full,0.5636458333333334,0.0246677135898323,0.609375,0.4895833333333333,43.0,53.0,74.0,22.0,0.4479166666666667,0.6615384615384615,0.5341614906832298
Relevant Features,3s,3s,1,1,1,1,diag,0.5773958333333333,0.0301455885730676,0.671875,0.515625,58.0,38.0,71.0,25.0,0.6041666666666666,0.6987951807228916,0.64804469273743
Relevant Features,3s,3s,1,1,1,1,spherical,0.4963541666666667,0.0341493540995531,0.5833333333333334,0.421875,41.0,55.0,71.0,25.0,0.4270833333333333,0.6212121212121212,0.5061728395061728
Relevant Features,3s,3s,1,1,1,2,full,,,,,,,,,,,
Relevant Features,3s,3s,1,1,1,2,diag,0.5018229166666667,0.0112522904689939,0.5729166666666666,0.4791666666666667,89.0,7.0,21.0,75.0,0.9270833333333334,0.5426829268292683,0.6846153846153847
Relevant Features,3s,3s,1,1,1,2,spherical,0.4894791666666667,0.0281633611842486,0.5625,0.4270833333333333,79.0,17.0,29.0,67.0,0.8229166666666666,0.541095890410959,0.6528925619834711
Relevant Features,3s,3s,1,1,1,3,full,,,,,,,,,,,
Relevant Features,3s,3s,1,1,1,3,diag,,,,,,,,,,,
Relevant Features,3s,3s,1,1,1,3,spherical,0.4932291666666666,0.0235644708872158,0.5520833333333334,0.4270833333333333,84.0,12.0,22.0,74.0,0.875,0.5316455696202531,0.6614173228346456
Relevant Features,3s,3s,1,1,1,4,full,,,,,,,,,,,
Relevant Features,3s,3s,1,1,1,4,diag,,,,,,,,,,,
Relevant Features,3s,3s,1,1,1,4,spherical,0.4980729166666666,0.0161484372900204,0.5364583333333334,0.453125,94.0,2.0,9.0,87.0,0.9791666666666666,0.5193370165745856,0.6787003610108302
Relevant Features,3s,3s,1,1,2,1,full,,,,,,,,,,,
Relevant Features,3s,3s,1,1,2,1,diag,0.5001041666666667,0.0024407030237208,0.5208333333333334,0.4895833333333333,89.0,7.0,11.0,85.0,0.9270833333333334,0.5114942528735632,0.6592592592592592
Relevant Features,3s,3s,1,1,2,1,spherical,0.4975520833333333,0.0280521336179769,0.5625,0.421875,81.0,15.0,27.0,69.0,0.84375,0.54,0.6585365853658537
