TOT,Latent Space,Jump,Components Slow,Mixtures Slow,Components Fast,Mixtures Fast,Covariance,Mean Accuracy,Standard Deviation,Max Accuracy,Min Accuracy,True Positives,False Positives,True Negatives,False Negatives,Precision,Recall,F1 Score
3,True,1s,1,1,1,1,full,0.4502469135802469,0.0459768402232592,0.5679012345679012,0.345679012345679,24.0,9.0,22.0,26.0,0.7272727272727273,0.48,0.5783132530120482
3,True,1s,1,1,1,1,diag,0.4561728395061727,0.0382267758157803,0.5432098765432098,0.345679012345679,30.0,3.0,14.0,34.0,0.9090909090909092,0.46875,0.6185567010309279
3,True,1s,1,1,1,1,spherical,0.5508641975308641,0.0485667149804605,0.6419753086419753,0.3950617283950617,17.0,16.0,35.0,13.0,0.5151515151515151,0.5666666666666667,0.5396825396825397
3,True,1s,1,1,1,2,full,0.4388888888888889,0.0267291791291493,0.5061728395061729,0.3703703703703703,33.0,0.0,8.0,40.0,1.0,0.4520547945205479,0.6226415094339622
3,True,1s,1,1,1,2,diag,0.4395061728395061,0.0451588670572145,0.5925925925925926,0.3086419753086419,24.0,9.0,24.0,24.0,0.7272727272727273,0.5,0.5925925925925926
3,True,1s,1,1,1,2,spherical,0.4567901234567902,0.0378108464965766,0.5679012345679012,0.3703703703703703,29.0,4.0,17.0,31.0,0.8787878787878788,0.4833333333333333,0.6236559139784946
3,True,1s,1,1,1,3,full,0.4276543209876544,0.0223943947523421,0.4814814814814814,0.382716049382716,32.0,1.0,7.0,41.0,0.9696969696969696,0.4383561643835616,0.6037735849056604
3,True,1s,1,1,1,3,diag,0.464320987654321,0.033168086056211,0.5802469135802469,0.382716049382716,29.0,4.0,18.0,30.0,0.8787878787878788,0.4915254237288136,0.6304347826086957
3,True,1s,1,1,1,3,spherical,0.4655555555555556,0.0377824172088657,0.5555555555555556,0.3703703703703703,29.0,4.0,16.0,32.0,0.8787878787878788,0.4754098360655737,0.6170212765957447
3,True,1s,1,1,1,4,full,0.4395061728395062,0.0228978234456684,0.5061728395061729,0.382716049382716,31.0,2.0,10.0,38.0,0.9393939393939394,0.4492753623188406,0.6078431372549019
3,True,1s,1,1,1,4,diag,0.4441975308641975,0.031763683119408,0.5925925925925926,0.3703703703703703,31.0,2.0,17.0,31.0,0.9393939393939394,0.5,0.6526315789473685
3,True,1s,1,1,1,4,spherical,0.4797530864197531,0.0364571893804462,0.5679012345679012,0.382716049382716,30.0,3.0,16.0,32.0,0.9090909090909092,0.4838709677419355,0.631578947368421
3,True,1s,1,1,2,1,full,0.4353086419753086,0.0276399874670518,0.5185185185185185,0.3580246913580246,30.0,3.0,12.0,36.0,0.9090909090909092,0.4545454545454545,0.6060606060606061
3,True,1s,1,1,2,1,diag,0.4341975308641974,0.0380140677800281,0.5679012345679012,0.345679012345679,29.0,4.0,17.0,31.0,0.8787878787878788,0.4833333333333333,0.6236559139784946
3,True,1s,1,1,2,1,spherical,0.4623456790123457,0.0433463453433599,0.5679012345679012,0.3703703703703703,31.0,2.0,15.0,33.0,0.9393939393939394,0.484375,0.6391752577319588
3,True,1s,1,1,2,2,full,0.4328395061728396,0.0224826983894483,0.4814814814814814,0.3703703703703703,32.0,1.0,7.0,41.0,0.9696969696969696,0.4383561643835616,0.6037735849056604
3,True,1s,1,1,2,2,diag,0.4371604938271606,0.0230368517849458,0.4938271604938271,0.382716049382716,33.0,0.0,7.0,41.0,1.0,0.4459459459459459,0.616822429906542
3,True,1s,1,1,2,2,spherical,0.4745679012345679,0.0342276018788414,0.5802469135802469,0.3703703703703703,29.0,4.0,18.0,30.0,0.8787878787878788,0.4915254237288136,0.6304347826086957
3,True,1s,1,1,2,3,full,0.4333333333333333,0.0230636317188511,0.4938271604938271,0.382716049382716,32.0,1.0,8.0,40.0,0.9696969696969696,0.4444444444444444,0.6095238095238095
3,True,1s,1,1,2,3,diag,0.4391358024691358,0.0233104597533492,0.5185185185185185,0.3950617283950617,33.0,0.0,9.0,39.0,1.0,0.4583333333333333,0.6285714285714286
3,True,1s,1,1,2,3,spherical,0.4341975308641976,0.029008668009616,0.5061728395061729,0.3703703703703703,31.0,2.0,10.0,38.0,0.9393939393939394,0.4492753623188406,0.6078431372549019
3,True,1s,1,1,2,4,full,,,,,,,,,,,
3,True,1s,1,1,2,4,diag,0.431111111111111,0.0235333383850742,0.4814814814814814,0.345679012345679,33.0,0.0,6.0,42.0,1.0,0.44,0.6111111111111112
3,True,1s,1,1,2,4,spherical,0.4323456790123457,0.0288466505610296,0.5061728395061729,0.3580246913580246,32.0,1.0,9.0,39.0,0.9696969696969696,0.4507042253521127,0.6153846153846154
3,True,1s,1,1,3,1,full,0.4362962962962963,0.022237306266071,0.5061728395061729,0.382716049382716,32.0,1.0,9.0,39.0,0.9696969696969696,0.4507042253521127,0.6153846153846154
3,True,1s,1,1,3,1,diag,0.4596296296296296,0.0352167932534153,0.5432098765432098,0.3703703703703703,29.0,4.0,15.0,33.0,0.8787878787878788,0.4677419354838709,0.6105263157894737
3,True,1s,1,1,3,1,spherical,0.4628395061728396,0.0408526334762127,0.5802469135802469,0.382716049382716,31.0,2.0,16.0,32.0,0.9393939393939394,0.492063492063492,0.6458333333333333
3,True,1s,1,1,3,2,full,,,,,,,,,,,
3,True,1s,1,1,3,2,diag,0.4374074074074074,0.0230474352302038,0.5061728395061729,0.3950617283950617,32.0,1.0,9.0,39.0,0.9696969696969696,0.4507042253521127,0.6153846153846154
3,True,1s,1,1,3,2,spherical,0.4334567901234568,0.0264724868893996,0.5308641975308642,0.3703703703703703,33.0,0.0,10.0,38.0,1.0,0.4647887323943662,0.6346153846153846
3,True,1s,1,1,3,3,full,,,,,,,,,,,
3,True,1s,1,1,3,3,diag,0.4350617283950618,0.0192148903292283,0.4814814814814814,0.3950617283950617,32.0,1.0,7.0,41.0,0.9696969696969696,0.4383561643835616,0.6037735849056604
3,True,1s,1,1,3,3,spherical,0.4222222222222223,0.0256600119639833,0.4814814814814814,0.3703703703703703,33.0,0.0,6.0,42.0,1.0,0.44,0.6111111111111112
3,True,1s,1,1,3,4,full,,,,,,,,,,,
3,True,1s,1,1,3,4,diag,0.4369135802469137,0.0175373835904242,0.4814814814814814,0.3950617283950617,33.0,0.0,6.0,42.0,1.0,0.44,0.6111111111111112
