TOT,Feature Type,Window Size,Step Size,Components Slow,Mixtures Slow,Components Fast,Mixtures Fast,Covariance Type,Mean Accuracy,Standard Deviation,Max Accuracy,Min Accuracy,True Positives,False Positives,True Negatives,False Negatives,Precision,Recall,F1 Score
3,Relevant Features,3s,3s,1,1,1,1,full,0.6298765432098766,0.0390787058671104,0.7283950617283951,0.5432098765432098,19.0,14.0,40.0,8.0,0.5757575757575758,0.7037037037037037,0.6333333333333334
3,Relevant Features,3s,3s,1,1,1,1,diag,0.5906172839506172,0.0422907537106304,0.6790123456790124,0.3950617283950617,12.0,21.0,43.0,5.0,0.3636363636363636,0.7058823529411765,0.48
3,Relevant Features,3s,3s,1,1,1,1,spherical,0.5660493827160493,0.0414776232773638,0.6790123456790124,0.4567901234567901,12.0,21.0,43.0,5.0,0.3636363636363636,0.7058823529411765,0.48
3,Relevant Features,3s,3s,1,1,1,2,full,,,,,,,,,,,
3,Relevant Features,3s,3s,1,1,1,2,diag,0.4288888888888887,0.0555039540877228,0.6296296296296297,0.3950617283950617,16.0,17.0,35.0,13.0,0.4848484848484848,0.5517241379310345,0.5161290322580646
3,Relevant Features,3s,3s,1,1,1,2,spherical,0.5428395061728394,0.0462742334260089,0.6666666666666666,0.4074074074074074,25.0,8.0,29.0,19.0,0.7575757575757576,0.5681818181818182,0.6493506493506495
3,Relevant Features,3s,3s,1,1,1,3,full,,,,,,,,,,,
3,Relevant Features,3s,3s,1,1,1,3,diag,,,,,,,,,,,
3,Relevant Features,3s,3s,1,1,1,3,spherical,0.4639506172839506,0.0454676457823123,0.5925925925925926,0.3580246913580246,26.0,7.0,22.0,26.0,0.7878787878787878,0.5,0.6117647058823529
3,Relevant Features,3s,3s,1,1,1,4,full,,,,,,,,,,,
3,Relevant Features,3s,3s,1,1,1,4,diag,,,,,,,,,,,
3,Relevant Features,3s,3s,1,1,1,4,spherical,0.4141975308641975,0.0337366998072585,0.5061728395061729,0.3333333333333333,31.0,2.0,10.0,38.0,0.9393939393939394,0.4492753623188406,0.6078431372549019
3,Relevant Features,3s,3s,1,1,2,1,full,,,,,,,,,,,
3,Relevant Features,3s,3s,1,1,2,1,diag,0.4325925925925925,0.0632629021416183,0.6666666666666666,0.3950617283950617,16.0,17.0,38.0,10.0,0.4848484848484848,0.6153846153846154,0.5423728813559322
3,Relevant Features,3s,3s,1,1,2,1,spherical,0.5188888888888887,0.0595275562214911,0.6296296296296297,0.3580246913580246,20.0,13.0,31.0,17.0,0.6060606060606061,0.5405405405405406,0.5714285714285714
3,Relevant Features,3s,3s,1,1,2,2,full,,,,,,,,,,,
3,Relevant Features,3s,3s,1,1,2,2,diag,,,,,,,,,,,
3,Relevant Features,3s,3s,1,1,2,2,spherical,,,,,,,,,,,
3,Relevant Features,3s,3s,1,1,2,3,full,,,,,,,,,,,
3,Relevant Features,3s,3s,1,1,2,3,diag,,,,,,,,,,,
3,Relevant Features,3s,3s,1,1,2,3,spherical,,,,,,,,,,,
3,Relevant Features,3s,3s,1,1,2,4,full,,,,,,,,,,,
3,Relevant Features,3s,3s,1,1,2,4,diag,,,,,,,,,,,
3,Relevant Features,3s,3s,1,1,2,4,spherical,,,,,,,,,,,
3,Relevant Features,3s,3s,1,1,3,1,full,,,,,,,,,,,
3,Relevant Features,3s,3s,1,1,3,1,diag,,,,,,,,,,,
3,Relevant Features,3s,3s,1,1,3,1,spherical,,,,,,,,,,,
3,Relevant Features,3s,3s,1,1,3,2,full,,,,,,,,,,,
3,Relevant Features,3s,3s,1,1,3,2,diag,,,,,,,,,,,
3,Relevant Features,3s,3s,1,1,3,2,spherical,,,,,,,,,,,
3,Relevant Features,3s,3s,1,1,3,3,full,,,,,,,,,,,
3,Relevant Features,3s,3s,1,1,3,3,diag,,,,,,,,,,,
3,Relevant Features,3s,3s,1,1,3,3,spherical,,,,,,,,,,,
3,Relevant Features,3s,3s,1,1,3,4,full,,,,,,,,,,,
3,Relevant Features,3s,3s,1,1,3,4,diag,,,,,,,,,,,
3,Relevant Features,3s,3s,1,1,3,4,spherical,,,,,,,,,,,
3,Relevant Features,3s,3s,1,1,4,1,full,,,,,,,,,,,
3,Relevant Features,3s,3s,1,1,4,1,diag,,,,,,,,,,,
3,Relevant Features,3s,3s,1,1,4,1,spherical,,,,,,,,,,,
3,Relevant Features,3s,3s,1,1,4,2,full,,,,,,,,,,,
3,Relevant Features,3s,3s,1,1,4,2,diag,,,,,,,,,,,
3,Relevant Features,3s,3s,1,1,4,2,spherical,,,,,,,,,,,
3,Relevant Features,3s,3s,1,1,4,3,full,,,,,,,,,,,
3,Relevant Features,3s,3s,1,1,4,3,diag,,,,,,,,,,,
3,Relevant Features,3s,3s,1,1,4,3,spherical,,,,,,,,,,,
3,Relevant Features,3s,3s,1,1,4,4,full,,,,,,,,,,,
